SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
1,947638,947638 - Procurement of AMC for CCTV Surveillance Infrastructure installed at Police Stations in Andhra Pradesh,821845,Andhra Pradesh,,2026-06-29,05:04:32,Andhra Pradesh eProcurement,Andhra Pradesh,Security Equipment,https://tender.apeprocurement.gov.in/login.html
2,307583,TENDER NO.: GMRC/AMC-CCTV/PH-I/2026 - Gujarat Metro Rail Corporation (GMRC) Ltd.-Urban Development & Urban Housing Development-GMRC Limited Commercial Department,TENDER NO.: GMRC/AMC-CCTV/PH-I/2026,Gujarat Metro Rail Corporation (GMRC) Ltd.-Urban Development & Urban Housing Development-GMRC Limited Commercial Department,,2026-06-30,06:04:32,nProcure,Gujarat,Security Equipment,https://tender.nprocure.com/dashboard/getTenderClosingData
3,301636,MGVCL/IT/2025-26/100035/CCTV-SDO - Madhya Gujarat Vij Company Limited-Energy And Petrochemicals Department-CE PROJECT - VADODARA,MGVCL/IT/2025-26/100035/CCTV-SDO,Madhya Gujarat Vij Company Limited-Energy And Petrochemicals Department-CE PROJECT - VADODARA,,2026-06-29,05:04:32,nProcure,Gujarat,Security Equipment,https://tender.nprocure.com/dashboard/getTenderClosingData
4,304481,GNFC/HO/CCTV/2026-27/001 - (n)Code Solutions - A Div.Of GNFC Ltd-IT Division-IT Division,GNFC/HO/CCTV/2026-27/001,(n)Code Solutions - A Div.Of GNFC Ltd-IT Division-IT Division,,2026-06-29,05:04:32,nProcure,Gujarat,Security Equipment,https://tender.nprocure.com/dashboard/getTenderClosingData
5,GEM/2026/B/7671327,GEM/2026/B/7671327 - Fibre optic-based perimeter intrusion detection system,GEM/2026/B/7671327,Ministry of Power,,2026-07-07,13:04:32,GeM,National,Intrusion Detection,https://bidplus.gem.gov.in/showbidDocument/9476164
6,GEM/2026/B/7515902,GEM/2026/B/7515902 - Perimeter Intrusion Detection System,GEM/2026/B/7515902,Ministry of Defence,,2026-07-04,10:04:32,GeM,National,Intrusion Detection,https://bidplus.gem.gov.in/showbidDocument/9302576
7,GEM/2026/B/7624620,"GEM/2026/B/7624620 - PTZ CAMERA 2 MP 25X STQC APPROVED,BULLET CAMERA 5 MP 60 MTR,DOME CAMERA 5 MP 30 MTR,OFC SW 6 CORE,C",GEM/2026/B/7624620,Ministry of Defence,,2026-07-03,09:04:32,GeM,National,"PTZ Camera, Optical Camera",https://bidplus.gem.gov.in/showbidDocument/9423781
8,GEM/2026/B/7642043,GEM/2026/B/7642043 - Intrusion Alarm Sys,GEM/2026/B/7642043,Ministry of Defence,,2026-06-27,03:04:32,GeM,National,Intrusion Detection,https://bidplus.gem.gov.in/showbidDocument/9443401
9,GEM/2026/B/7568232,"GEM/2026/B/7568232 - AMC of Integrated Security and Surveillance System - Theft Prevention, Remote Video Monitoring, Fac",GEM/2026/B/7568232,Ministry of Defence,,2026-06-27,03:04:32,GeM,National,Surveillance Equipment,https://bidplus.gem.gov.in/showbidDocument/9360734
10,GEM/2026/B/7670533,GEM/2026/B/7670533 - AMC of Integrated Security and Surveillance System - Outdoor Perimeter Security; Comprehensive; Har,GEM/2026/B/7670533,Ministry of Defence,,2026-06-26,02:04:32,GeM,National,"Perimeter Security, Surveillance Equipment",https://bidplus.gem.gov.in/showbidDocument/9475297
11,GEM/2026/B/7632374,"GEM/2026/B/7632374 - INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Remote Video Monitoring, Outdoor Perimeter Securi",GEM/2026/B/7632374,Home Department Odisha,,2026-06-25,01:04:32,GeM,National,Surveillance Equipment,https://bidplus.gem.gov.in/showbidDocument/9432426
12,GEM/2026/B/7460881,"GEM/2026/B/7460881 - AMC of Integrated Security and Surveillance System - Theft Prevention, Monitor Operations, Parking ",GEM/2026/B/7460881,Ministry of Defence,,2026-06-25,01:04:32,GeM,National,Surveillance Equipment,https://bidplus.gem.gov.in/showbidDocument/9241515
13,GEM/2026/B/7632469,GEM/2026/B/7632469 - Supply of Precast Cement Concrete Posts for Perimeter Security Work,GEM/2026/B/7632469,Forest Department Rajasthan,,2026-06-24,00:04:32,GeM,National,Perimeter Security,https://bidplus.gem.gov.in/showbidDocument/9432527
14,GEM/2026/B/7563413,GEM/2026/B/7563413 - TI/ IR NIGHT VISION DEVICE INCLUDING BINOCULARS AND CAMERAS,GEM/2026/B/7563413,Ministry of Defence,,2026-07-10,16:04:32,GeM,National,"Night Vision Device, Binoculars, Optical Camera",https://bidplus.gem.gov.in/showbidDocument/9355334
15,GEM/2026/R/685650,GEM/2026/R/685650 - Ballistic Helmets,GEM/2026/R/685650,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,Ballistic Helmet,https://bidplus.gem.gov.in/showbidDocument/9500729
16,GEM/2026/B/7655141,GEM/2026/B/7655141 - Bullet Proof Guard Room,GEM/2026/B/7655141,Ministry of Defence,,2026-06-25,01:04:32,GeM,National,Bullet Proof,https://bidplus.gem.gov.in/showbidDocument/9457845
17,GEM/2026/B/7618600,"GEM/2026/B/7618600 - CP PLUS 32 Channel NVR,WB HD 10TB,2 MP Bullet Camera CP Plus,D-Link POE 16 port switch,D-Link 305-m",GEM/2026/B/7618600,Ministry of Education,,2026-06-24,00:04:32,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9417116
18,GEM/2026/B/7648724,"GEM/2026/B/7648724 - INDOOR 4 MP IR FIXED DOME IP CAMERA WITH POE,OUTDOOR 4 MP IR FIXED BULLET IP CAMERA WITH POE,16 CHA",GEM/2026/B/7648724,Ministry of Civil Aviation,,2026-06-24,00:04:32,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9450718
19,GEM/2026/B/7544859,GEM/2026/B/7544859 - Bullet Proof Light Vehicle,GEM/2026/B/7544859,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,Bullet Proof,https://bidplus.gem.gov.in/showbidDocument/9334562
20,GEM/2026/B/7679939,"GEM/2026/B/7679939 - SODIUM LAURYL SULPHATE, CAS# 151-21-3,ETHYLENE DIAMINE TETRA ACETIC ACID",GEM/2026/B/7679939,Ministry of Steel,,2026-06-30,06:04:32,GeM,National,TETRA,https://bidplus.gem.gov.in/showbidDocument/9485668
21,GEM/2026/B/7507367,GEM/2026/B/7507367 - Dslr / Compact / Handheld Camcorder Or Video Cameras (V2),GEM/2026/B/7507367,Ministry of Power,,2026-06-25,01:04:32,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9293222
22,GEM/2026/B/7571189,GEM/2026/B/7571189 - Dristi- Anti Drone Sight Sys,GEM/2026/B/7571189,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,Anti-Drone,https://bidplus.gem.gov.in/showbidDocument/9364008
23,GEM/2026/B/7633835,"GEM/2026/B/7633835 - Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Video Recorder for CCTV System (V2)",GEM/2026/B/7633835,Panchayats and Rural Housing Department Gujarat,,2026-06-24,00:04:32,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9434072
24,GEM/2026/R/685911,"GEM/2026/R/685911 - Video Recorder for CCTV System (V2),Ethernet Cables",GEM/2026/R/685911,Panchayats and Rural Housing Department Gujarat,,2026-06-24,00:04:32,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9502375
25,GEM/2026/B/7501602,GEM/2026/B/7501602 - INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - As Per RFP; As Per RFP; As Per RFP; As Per RFP; N,GEM/2026/B/7501602,Information Technology and Electronics Department Uttar Pradesh,,2026-06-24,00:04:32,GeM,National,Surveillance Equipment,https://bidplus.gem.gov.in/showbidDocument/9286889
26,GEM/2026/B/7618215,"GEM/2026/B/7618215 - AMC of Integrated Security and Surveillance System - Theft Prevention, Remote Video Monitoring, Fac",GEM/2026/B/7618215,Medical Education Department Uttar Pradesh,,2026-06-24,00:04:32,GeM,National,Surveillance Equipment,https://bidplus.gem.gov.in/showbidDocument/9416696
27,GEM/2026/R/686047,GEM/2026/R/686047 - AMC of Integrated Security and Surveillance System - Health Monitoring Solution for CCTV System; Co,GEM/2026/R/686047,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,"Security Equipment, Surveillance Equipment",https://bidplus.gem.gov.in/showbidDocument/9503388
28,GEM/2026/B/7620766,"GEM/2026/B/7620766 - PTZ Camera 4MP 180 Mtr,PTZ Installation,Optical Fiber Cable,Fiber Patch Cord,Splicing of OFC,Media ",GEM/2026/B/7620766,Ministry of Defence,,2026-06-25,01:04:32,GeM,National,PTZ Camera,https://bidplus.gem.gov.in/showbidDocument/9419548
29,GEM/2026/B/7517805,GEM/2026/B/7517805 - Dslr / Compact / Handheld Camcorder Or Video Cameras (V2),GEM/2026/B/7517805,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9304683
30,GEM/2026/B/7577514,GEM/2026/B/7577514 - Anti Drone Cope Cages for Armoured Fighting Vehicles,GEM/2026/B/7577514,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,Anti-Drone,https://bidplus.gem.gov.in/showbidDocument/9371029
31,GEM/2026/R/685644,GEM/2026/R/685644 - Anti Drone Jammer With Detector,GEM/2026/R/685644,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,"Counter UAV, Anti-Drone",https://bidplus.gem.gov.in/showbidDocument/9500703
32,GEM/2026/R/685819,GEM/2026/R/685819 - Camera for CCTV System (V3),GEM/2026/R/685819,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9501563
33,GEM/2026/B/7662473,"GEM/2026/B/7662473 - Repair, Replacement and Sevice of CCTV Cameras, 16 CH DVR/NVR and its accessories",GEM/2026/B/7662473,Ministry of Defence,,2026-06-23,Closed,GeM,National,"Security Equipment, Optical Camera",https://bidplus.gem.gov.in/showbidDocument/9465996
34,GEM/2026/B/7635901,GEM/2026/B/7635901 - Security Surveillance & Access Control System,GEM/2026/B/7635901,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9436518
35,GEM/2026/B/7599751,GEM/2026/B/7599751 - AMC of Integrated Security and Surveillance System - Comprehensive Maintenance Contract for CCTV Su,GEM/2026/B/7599751,Ministry of Home Affairs,,2026-06-24,00:04:32,GeM,National,"Security Equipment, Surveillance Equipment",https://bidplus.gem.gov.in/showbidDocument/9396045
36,GEM/2026/B/7615411,GEM/2026/B/7615411 - AMC of Integrated Security and Surveillance System - Remote Video Monitoring; Comprehensive; As per,GEM/2026/B/7615411,Ministry of Consumer Affairs Food and Public Distribution,,2026-06-24,00:04:32,GeM,National,Surveillance Equipment,https://bidplus.gem.gov.in/showbidDocument/9413645
37,GEM/2026/B/7565461,"GEM/2026/B/7565461 - Bullet Camera,PTZ Camera,OFC 24 Core FRP Armoured,Electrical Cable 2 Core power CU Cable 4 SQMM,CAT",GEM/2026/B/7565461,Ministry of Home Affairs,,2026-06-25,01:04:32,GeM,National,"PTZ Camera, Optical Camera",https://bidplus.gem.gov.in/showbidDocument/9357605
38,GEM/2026/B/7583333,GEM/2026/B/7583333 - thermal imager,GEM/2026/B/7583333,Ministry of Power,,2026-06-24,00:04:32,GeM,National,Thermal Imager,https://bidplus.gem.gov.in/showbidDocument/9377671
39,GEM/2026/B/7661195,"GEM/2026/B/7661195 - Body Camera,Helmet Strap,Magnetic Clip,Memory Card,Carrying Case,Dock,Voltage Stabilizer,Chest Clip",GEM/2026/B/7661195,Ministry of Defence,,2026-06-23,Closed,GeM,National,Body Worn Camera,https://bidplus.gem.gov.in/showbidDocument/9464559
40,2026_MPP_508476_1,Supply Installation Commissioning and Maintenance of CCTV camera in three cities Mauganj Maihar Pandhurna,D-8519/26 Date 18/05/2026,MP Police | Telecommunication BHOPAL - MPP,2026-06-24,2026-06-23,Closed,MP Tenders,Madhya Pradesh,Security Equipment,https://mptenders.gov.in/nicgep/app
41,GEM/2026/B/7671407,GEM/2026/B/7671407 - Customized AMC/CMC for Pre-owned Products - Providing UHF Radio Airtime Services for 50 Units Handh,GEM/2026/B/7671407,Ministry of Petroleum and Natural Gas,,2026-06-23,Closed,GeM,National,Handheld Radio,https://bidplus.gem.gov.in/showbidDocument/9476245
42,GEM/2026/B/7658595,GEM/2026/B/7658595 - Camera for CCTV System (V3),GEM/2026/B/7658595,Ministry of Science and Technology,,2026-06-23,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9461638
43,GEM/2026/B/7599358,"GEM/2026/B/7599358 - 1 Tb Hard Disk,CCTV cage protection box,PVC POE Switch,6 x 6 PBC Box,RJ 456 Connector,POE Switch 4 ",GEM/2026/B/7599358,Ministry of Defence,,2026-06-23,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9395607
44,GEM/2026/B/7656945,"GEM/2026/B/7656945 - Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Video Recorder for CCTV System (V2)",GEM/2026/B/7656945,Panchayats and Rural Housing Department Gujarat,,2026-06-23,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9459838
45,GEM/2026/B/7657501,"GEM/2026/B/7657501 - Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Video Recorder for CCTV System (V2)",GEM/2026/B/7657501,Panchayats and Rural Housing Department Gujarat,,2026-06-23,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9460451
46,GEM/2026/B/7657703,"GEM/2026/B/7657703 - Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Optical Fibre Cable for Networking",GEM/2026/B/7657703,Panchayats and Rural Housing Department Gujarat,,2026-06-23,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9460674
47,GEM/2026/B/7661851,GEM/2026/B/7661851 - Facility Management Services - LumpSum Based - DISTRICT JAIL LUCKNOW; AMC SERVICES FOR CCTV CAMERAS,GEM/2026/B/7661851,Prisons Administration and Reforms Department Uttar Pradesh,,2026-06-23,Closed,GeM,National,"Security Equipment, Optical Camera",https://bidplus.gem.gov.in/showbidDocument/9465305
48,GEM/2026/B/7662144,GEM/2026/B/7662144 - SUPPLY AND INSTALLATION OF CCTV SURVEILLANCE SYSTEM,GEM/2026/B/7662144,Ministry of Defence,,2026-06-24,00:04:32,GeM,National,"Security Equipment, Surveillance Equipment",https://bidplus.gem.gov.in/showbidDocument/9465630
49,GEM/2026/B/7658243,"GEM/2026/B/7658243 - INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Remote Video Monitoring, Facili",GEM/2026/B/7658243,Urban Development & Housing Department Bihar,,2026-06-23,Closed,GeM,National,Surveillance Equipment,https://bidplus.gem.gov.in/showbidDocument/9461254
50,GEM/2026/B/7658677,"GEM/2026/B/7658677 - AMC of Integrated Security and Surveillance System - Theft Prevention, Remote Video Monitoring, Fac",GEM/2026/B/7658677,Urban Development & Housing Department Bihar,,2026-06-23,Closed,GeM,National,Surveillance Equipment,https://bidplus.gem.gov.in/showbidDocument/9461726
51,GEM/2026/B/7662503,GEM/2026/B/7662503 - Training on CCTV surveillance system,GEM/2026/B/7662503,Ministry of Defence,,2026-06-23,Closed,GeM,National,"Security Equipment, Surveillance Equipment",https://bidplus.gem.gov.in/showbidDocument/9466026
